scenario,rank,cond_J,sv_max,sv_min,J_dAL_dDleft,J_dTDR_dDleft,J_dAL_dDright
healthy,0,0.0,0.0,0.0,0.0,0.0,0.0
left_mild_30,1,4.1151813031966874e+18,4115.181303196688,0.0,-101.68840457285276,-4113.888888888889,0.0
left_moderate_50,1,4.1151813031966874e+18,4115.181303196688,0.0,-101.68840457285276,-4113.888888888889,0.0
left_severe_70,1,4.1151813031966874e+18,4115.181303196688,0.0,-101.68840457285276,-4113.888888888889,0.0
right_severe_70,1,4.1151813031966863e+18,4115.181303196687,0.0,0.0,0.0,0.0
